version,2.2.0
info,balls_per_over,6
info,team,UP Warriorz
info,team,Delhi Capitals
info,gender,female
info,season,2024/25
info,date,2025/02/19
info,event,Women's Premier League
info,match_number,6
info,venue,"Kotambi Stadium, Vadodara"
info,city,Vadodara
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,A Sutherland
info,umpire,AK Argal
info,umpire,Bhavesh Patel
info,reserve_umpire,Anish Sahasrabudhe
info,tv_umpire,N Janani
info,match_referee,M Mangla
info,winner,Delhi Capitals
info,winner_wickets,7
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,D Vrinda
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,TM McGrath
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,GM Harris
info,player,UP Warriorz,CA Henry
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,U Chetry
info,player,UP Warriorz,RS Gayakwad
info,player,UP Warriorz,K Goud
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,MM Lanning
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,A Sutherland
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,JL Jonassen
info,player,Delhi Capitals,SJ Bryce
info,player,Delhi Capitals,S Pandey
info,player,Delhi Capitals,A Reddy
info,player,Delhi Capitals,M Mani
info,player,Delhi Capitals,NS Prasad
info,registry,people,A Reddy,eadc8924
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AK Argal,0ee78cf3
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,CA Henry,75820733
info,registry,people,D Vrinda,3a015a5f
info,registry,people,DB Sharma,201fef33
info,registry,people,GM Harris,72166006
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Jonassen,0475a86b
info,registry,people,K Goud,4d622fee
info,registry,people,KP Navgire,617a0b79
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Mangla,a4d2b121
info,registry,people,M Mani,8d1ade08
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Janani,d06a665d
info,registry,people,NS Prasad,f903aec2
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,U Chetry,8f8f94fd
