version,2.2.0
info,balls_per_over,6
info,team,Joburg Super Kings
info,team,Durban's Super Giants
info,gender,male
info,season,2025/26
info,date,2026/01/01
info,event,SA20
info,match_number,9
info,venue,"The Wanderers Stadium, Johannesburg"
info,city,Johannesburg
info,toss_winner,Durban's Super Giants
info,toss_decision,field
info,player_of_match,D Ferreira
info,umpire,Lauren Agenbag
info,umpire,Stephen Harris
info,reserve_umpire,MN Gampu
info,tv_umpire,Siphelele Gasa
info,match_referee,GH Pienaar
info,outcome,tie
info,eliminator,Joburg Super Kings
info,player,Joburg Super Kings,M De Villiers
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,RR Rossouw
info,player,Joburg Super Kings,PWA Mulder
info,player,Joburg Super Kings,Shubham Ranjane
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,P Subrayen
info,player,Joburg Super Kings,D Forrester
info,player,Joburg Super Kings,D Jansen
info,player,Joburg Super Kings,AJ Hosein
info,player,Joburg Super Kings,RJ Gleeson
info,player,Durban's Super Giants,DP Conway
info,player,Durban's Super Giants,KS Williamson
info,player,Durban's Super Giants,JC Buttler
info,player,Durban's Super Giants,AK Markram
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,E Jones
info,player,Durban's Super Giants,D Wiese
info,player,Durban's Super Giants,E Bosch
info,player,Durban's Super Giants,SR Harmer
info,player,Durban's Super Giants,KT Maphaka
info,player,Durban's Super Giants,Noor Ahmad
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AK Markram,6a26221c
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Forrester,23393635
info,registry,people,D Jansen,8dc152d1
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DP Conway,df5a6881
info,registry,people,E Bosch,28d6c44d
info,registry,people,E Jones,fbfea9c2
info,registry,people,F du Plessis,3355b542
info,registry,people,GH Pienaar,3516e46b
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JC Buttler,99b75528
info,registry,people,KS Williamson,d027ba9f
info,registry,people,KT Maphaka,107c26fb
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M De Villiers,e9aaf862
info,registry,people,MN Gampu,41597619
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Subrayen,7ec9711d
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,RJ Gleeson,402f8494
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,SR Harmer,23638956
info,registry,people,Shubham Ranjane,6c7a68d0
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,Stephen Harris,fdcfd4aa
