version,2.2.0
info,balls_per_over,6
info,team,Durban's Super Giants
info,team,MI Cape Town
info,gender,male
info,season,2025/26
info,date,2025/12/26
info,event,SA20
info,match_number,1
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,Durban's Super Giants
info,toss_decision,bat
info,player_of_match,RD Rickelton
info,umpire,A Jacobs
info,umpire,LB Gcuma
info,reserve_umpire,TC Mokorosi
info,tv_umpire,A Steenkamp
info,match_referee,LH Matroos
info,winner,Durban's Super Giants
info,winner_runs,15
info,player,Durban's Super Giants,DP Conway
info,player,Durban's Super Giants,KS Williamson
info,player,Durban's Super Giants,JC Buttler
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,AK Markram
info,player,Durban's Super Giants,E Jones
info,player,Durban's Super Giants,D Wiese
info,player,Durban's Super Giants,E Bosch
info,player,Durban's Super Giants,SR Harmer
info,player,Durban's Super Giants,KT Maphaka
info,player,Durban's Super Giants,Noor Ahmad
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,JF Smith
info,player,MI Cape Town,N Pooran
info,player,MI Cape Town,D Pretorius
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,C Bosch
info,player,MI Cape Town,T Luus
info,player,MI Cape Town,TA Boult
info,registry,people,A Jacobs,70d117de
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,AK Markram,6a26221c
info,registry,people,C Bosch,172dff15
info,registry,people,D Pretorius,11614d87
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DP Conway,df5a6881
info,registry,people,E Bosch,28d6c44d
info,registry,people,E Jones,fbfea9c2
info,registry,people,GF Linde,e5437608
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JC Buttler,99b75528
info,registry,people,JF Smith,91cd48e0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,KT Maphaka,107c26fb
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,LH Matroos,6fa18157
info,registry,people,N Pooran,3241e3fd
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SR Harmer,23638956
info,registry,people,T Luus,a0b76243
info,registry,people,TA Boult,a818c1be
info,registry,people,TC Mokorosi,e93c3cf8
