version,2.2.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Hobart Hurricanes
info,gender,male
info,season,2025/26
info,date,2025/12/21
info,event,Big Bash League
info,match_number,8
info,venue,"GMHBA Stadium, South Geelong, Victoria"
info,city,Geelong
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,CJ Jordan
info,umpire,GA Abood
info,umpire,SE Dionysius
info,reserve_umpire,C Grant
info,tv_umpire,Troy Penman
info,match_referee,RL Parry
info,winner,Hobart Hurricanes
info,winner_wickets,7
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,Mohammad Rizwan
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,OJ Peake
info,player,Melbourne Renegades,Hassan Khan
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,F O'Neill
info,player,Melbourne Renegades,GS Sandhu
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,JP Behrendorff
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,TP Ward
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,Rehan Ahmed
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,Rishad Hossain
info,player,Hobart Hurricanes,RP Meredith
info,registry,people,A Zampa,14f96089
info,registry,people,BR McDermott,c41043e6
info,registry,people,C Grant,876ed858
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,F O'Neill,39d608d4
info,registry,people,GA Abood,a4af5528
info,registry,people,GS Sandhu,1558d83b
info,registry,people,Hassan Khan,486065b3
info,registry,people,J Brown,647e7d44
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JP Behrendorff,4933f499
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Wade,afa7e784
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,OJ Peake,9c8448ba
info,registry,people,RL Parry,86d151dc
info,registry,people,RP Meredith,64775749
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,Rishad Hossain,5935d694
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,TH David,f1f99156
info,registry,people,TL Seifert,4663bd23
info,registry,people,TP Ward,fdd837ba
info,registry,people,Troy Penman,0aa42c26
info,registry,people,W Sutherland,bc2d4f2e
